"name","price_amount"
"Boxee","$30,000,000.00"
"Boxer",""
"BoxTone",""
"BPL Global",""
"Brabeion Software",""
"Bragster",""
"Braintree","$800,000,000.00"
"Branch","$15,000,000.00"
"BranchOut",""
"Brand.net",""
"Extreme Reach (formerly BrandAds)",""
"Branded Payment Solutions","$3,100,000.00"
"brands4friends","$200,000,000.00"
"Brandtology",""
"Breach Security",""
"Bread",""
"Break Media",""
"BreakingPoint Systems","$160,000,000.00"
"BreconRidge","$53,000,000.00"
"Brenco",""
"BridgeCo",""
"BridgeLux",""
"BridgePoint Medical",""
"BridgePort Networks",""
"Bridgestream",""
"Bridgewater Systems",""
"Bright.com","$120,000,000.00"
"BrightContext",""
"Brightkit",""
"Brightkite",""
"BrightNest","$6,300,000.00"
"BrightRoll","$640,000,000.00"
"Brightstar",""
"BrightWhistle","$20,000,000.00"
"Brijot Imaging Systems",""
"BringIt",""
"Brion Technologies","$270,000,000.00"
"Brix Networks",""
"Broadbus Technologies","$181,000,000.00"
"Broadcast.com","$5,700,000,000.00"
"BroadHop",""
"BroadLight","$230,000,000.00"
"BroadLogic Network Technologies",""
"BroadSource",""
"BroadWare Technologies",""
"Brokat",""
"Bswift","$400,000,000.00"
"bTendo",""
"Bubbly",""
"Bubbli",""
"Buccaneer",""
"Salesforce Buddy Media","$689,000,000.00"
"BufferBox",""
"BugSense",""
"BuildForge",""
"BUKA","$80,000,000.00"
"BULX",""
"Bump Technologies","$30,000,000.00"
"BumpTop",""
"Bundle",""
"Bureau Of Trade",""
"Burstly",""
"Buscape","$374,000,000.00"
"Business Engine",""
"Business Horizons LCO",""
"Business Insider","$343,000,000.00"
"Business Monitor International",""
"Business Only Broadband",""
"buuteeq",""
"Pounce",""
"Buysight",""
"Buyt.In",""
"BuyVIP",""
"BuyWithMe",""
"BuyYourFriendADrink.com",""
"Buzzmetrics",""
"BuzzTable",""
"BuzzTable",""
"ByAllAccounts","$28,000,000.00"
"Byliner",""
"ByteLight",""
"Bytemobile",""
"BzzAgent","$60,000,000.00"
"C-nario",""
"C-sam",""
"C9 Inc.",""
"Cabana",""
"Cabforce",""
"Cache IQ",""
"Cadence Pharmaceuticals","$1,300,000,000.00"
"Cadent",""
"Locately",""
"Cake Financial",""
"Calibra Medical",""
"California Apostille Services",""
"California Apostille Services",""
"California Apostille Services",""
"California Apostille Services",""
"California Apostille Services",""
"California Linear Devices",""
"California Stem Cell","$124,000,000.00"
"Caliper Life Sciences","$600,000,000.00"
"Calista Technologies",""
"Calistoga Pharmaceuticals","$375,000,000.00"
"Callidus Biopharma",""
"CallTech Communications",""
"CalmSea",""
"Calpurnia Corporation",""
"Calypso Medical",""
"Calypto Design Systems",""
"Cambridge Positioning Systems","$35,000,000.00"
"CambridgeSoft",""
"Cameo",""
"Camerama",""
"Camero",""
"Cameron Health",""
"Camiant",""
"Campanja",""
"Campfire",""
"Candescent Healing",""
"Canesta",""
"Canpages","$225,000,000.00"
"Cantametrix",""
"Canwest",""
"Cape Clear Software",""
"CapitalSource",""
"CapitalStream",""
"Capptain",""
"Capsule Tech",""
"Captivate Network",""
"Carbon Ads",""
"Carbon Black",""
"Card Capture Services",""
"card.io",""
"Cardiac Pathways Corp",""
"CardiAQ Valve Technologies","$350,000,000.00"
"Cardiocore",""
"CardioGen Sciences",""
"CardioInsight Technologies","$93,000,000.00"
"Cardiokine",""
"CardioMEMS","$455,000,000.00"
"CardioMEMS",""
"Cardioxyl Pharmaceuticals","$2,000,000,000.00"
"CardMunch",""
"CarDomain Network",""
"Cardpool",""
"CardSpring",""
"CardStar",""
"Care Team Connect",""
"Carefx",""
"CareGain",""
"CareinSync",""
"CarePoint Partners","$223,000,000.00"
"Carmel Pharma",""
"Carmenta Bioscience",""
"Carmine",""
"carpooling.com",""
"Cartavi",""
"Cartela AB","$616,000.00"
"CarWale","$90,000,000.00"
"CarWale",""
"CarZen",""
"Casabi","$1,950,000.00"
"Casacanda",""
"Casero",""
"CashEdge","$465,000,000.00"
"Caspida",""
"Cassatt",""
"Castek",""
"CasterStats",""
"Cast Iron Systems",""
"CastTV",""
"Catapult Genetics",""
"Catapult International",""
"Catena Networks",""
"Causata",""
"Causes",""
"Caviar","$90,000,000.00"
"Threadbox",""
"cCAM Biotherapeutics","$95,000,000.00"
"CDB Infotek",""
"CDC Software",""
"Cedar Point Communications",""
"Cedarburg Hauser Pharmaceuticals","$41,000,000.00"
"Celequest Corp",""
"Celestial Semiconductor",""
"Cell Again",""
"CellBiosciences",""
"Cellectar",""
"Celleration","$30,400,000.00"
"Celletra",""
"Cellfire",""
"Cellity",""
"Clever Sense",""
"CellPoint Diagnostics",""
"CellTran","$109,000.00"
"Cellular Dynamics International","$307,000,000.00"
"CellzDirect","$57,000,000.00"
"CELtrak",""
"Cemaphore Systems",""
"Centerbeam, Inc.","$22,000,000.00"
"CenterPost Communications",""
"Centive",""
"Central Desktop",""
"Centrality Communications",""
"CentrePath",""
"Cenzic",""
"Ceon",""
"Ceptaris Therapeutics","$250,000,000.00"
"Ception Therapeutics","$250,000,000.00"
"Cequint",""
"Ceregene",""
"Ceros",""
"Certess",""
"Certify Data Systems",""
"Cervalis","$400,000,000.00"
"CGI Pharmaceuticals","$120,000,000.00"
"Chai Labs","$10,000,000.00"
"Chalk","$23,125,000.00"
"Chalkable","$10,000,000.00"
"Challenge Games","$20,500,000.00"
"Change Healthcare","$135,000,000.00"
"Chango","$122,000,000.00"
"Channel Intelligence","$125,000,000.00"
"ChannelWave",""
"Chantest","$54,000,000.00"
"Chaparral Network Storage",""
"Charitybuzz",""
"Charles Schwab",""
"Chase Federal Bank",""
"Chatham Therapeutics","$70,000,000.00"
"Chelsea Therapeutics International",""
"ChessPark",""
"CHF Solutions",""
"CHiL Semiconductor","$75,000,000.00"
"ChinaHR.com","$224,000,000.00"
"Chipidea Microelectrónica","$22,000,000.00"
"Chipidea Microelectrónica","$147,000,000.00"
"Chips and Technologies","$420,000,000.00"
"ChipSensors",""
"ChipWrights",""
"ChipX",""
"Chirp Interactive",""
"Chirpme",""
"Chockstone",""
"Choice Therapeutics",""
"Chomp",""
"Choose Digital",""
"Chronicle Solutions",""
"Chronos Mobile Technologies",""
"Cibando",""
"Cibecs",""
"Ciclon Semiconductor Device Corporation",""
"Cie Games","$100,000,000.00"
"Cinario",""
"CipherTrust","$273,600,000.00"
"CiraNova",""
"Circle of Moms",""
"Circle Street",""
"CircleLending",""
"CircuLite","$30,000,000.00"
"cisimple",""
"Citizen Sports",""
"CitizenHawk",""
"Citizenside","$1,500,000.00"
"Citrus Lane","$48,600,000.00"
"Citydeal.de",""
"CitySquares",""
"CityTherapy",""
"Cityvox",""
"Civitas Therapeutics","$525,000,000.00"
"Clacendix",""
"ClairMail","$173,000,000.00"
"Clarient","$587,000,000.00"
"Claritics",""
"Clarity",""
"Clarity Payment Solutions",""
"ClarityRay",""
"Claros Diagnostics",""
"Clarus Systems",""
"Classic Fine foods",""
"Clean Mobile",""
"CleanEdison",""
"Clear Shape Technologies",""
"Clear Standards",""
"Clear Story Systems",""
"Clear2Pay","$375,000,000.00"
"Clear2Pay",""
"ClearAccess",""
"ClearApp",""
"ClearForest",""
"ClearMomentum",""
"ClearPoint Metrics",""
"ClearSaleing",""
"Clearswift",""
"Clearwell Systems","$390,000,000.00"
"Clearwire","$2,200,000,000.00"
"Cleversafe",""
"CleverSet","$10,000,000.00"
"Clickability",""
"Clickability",""
"Clickable",""
"ClickandBuy",""
"ClickDelivery",""
"ClickEquations",""
"Clicker",""
"Clickpass",""
"ClickShift",""
"ClickSquared",""
"Clinical Pathology Laboratories",""
"Clipboard","$12,000,000.00"
"Clipmarks",""
"Cloakware",""
"Cloakware","$72,500,000.00"
"Clontech Laboratories Inc",""
"Clothes Horse",""
"Cloud.com",""
"Cloud Sherpas",""
"Cloudant",""
"Cloudary",""
"CloudBlue Technologies",""
"CloudFloor",""
"Cloudkick",""
"Cloudmeter",""
"CloudOn",""
"Cloudscaling",""
"CloudShield Technologies",""
"CloudSwitch",""
"CloudVertical",""
"CloudVolumes",""
"Clouli",""
"Cloupia","$125,000,000.00"
"Clover","$56,100,000.00"
"Cloverleaf Communications","$12,000,000.00"
"Clusterk",""
"Clutch.io",""
"CMOSIS nv",""
"CMOSIS nv",""
"CN Creative","$50,000,000.00"
"CNS Therapeutics",""
"CO Space",""
"COADE",""
"Coalfire",""
"CoaLogix",""
"Coapt Systems",""
"Code Green Networks",""
"CodeEval",""
"Codefast",""
"Codenomicon",""
"CodeRyte",""
"Codesion",""
"Coding Technologies",""
"Cobook",""
"Cofio Software",""
"CoFluent Design",""
"CoFoundersLab",""
"Cogenta Systems",""
"Coghead",""
"Cognea",""
"Cognio",""
"CogniTens",""
"Cognitive Match",""
"Cognitive Security",""
"Coherex Medical",""
"Cohesive Technologies",""
"Cohuman",""
"Coinzone",""
"ColdLight Solutions","$105,000,000.00"
"ColdSpark","$15,900,000.00"
"Coley Pharmaceutical Group",""
"Colibria",""
"Colibria",""
"CollabNet",""
"Collaborate.com",""
"CollabRx",""
"CollegeHumor",""
"Collective Intellect",""
"College Nannies and Tutors",""
"collegefeed",""
"Collegiate Presswire",""
"Collider Media",""
"ColorPlaza",""
"COLOURlovers",""
"Colubris Networks",""
"Com2uS Corp.","$65,000,000.00"
"CombineNet","$43,000,000.00"
"Comixology",""
"commercetools",""
"Commerciant, LP",""
"Commnet Wireless",""
"CommPartners",""
"Compass",""
"Compassoft",""
"Compellent Technologies","$820,000,000.00"
"Compendia Bioscience",""
"Compendium",""
"Compete","$150,000,000.00"
"Compilr","$20,000,000.00"
"Complete Network Technology",""
"Compliance 11",""
"Compliance Assurance",""
"Composite Software","$180,000,000.00"
"COMPS.com",""
"CompuPay",""
"Comsenz",""
"Comtica",""
"Comverge",""
"Concentra","$1,055,000,000.00"
"Concept.io","$30,000,000.00"
"Concord Music Group",""
"Concuity",""
"Concur Technologies","$8,300,000,000.00"
"Conduit Labs",""
"Conergy",""
"Confirma",""
"Confluence Solar",""
"Conformia Software",""
"Connected",""
"Connected Corporation",""
"Connected Data","$7,500,000.00"
"Connexity",""
"Conscious Box",""
"Consera Software",""
"Consert",""
"Consumr",""
"Consorte Media",""
"Constant Contact","$1,100,000,000.00"
"Constella Group",""
"Construction Software Technologies",""
"Consul Risk Management International",""
"Consul Risk Management International",""
"Consult A Doctor",""
"Contact At Once!","$65,000,000.00"
"Contactual",""
"ContactUs.com",""
"Content Savvy",""
"ConteXtream",""
"Contigo Financial",""
"Continuous Computing",""
"Contivo",""
"Contrail Systems","$176,000,000.00"
"ControlCircle","$39.00"
"Conveneer",""
"Convergence Pharmaceuticals","$675,000,000.00"
"Convergin",""
"Convertro","$101,000,000.00"
"Convio","$293,900,000.00"
"Cookstr",""
"Cooliris",""
"Copan Systems","$2,000,000.00"
"Copilot Labs",""
"Copiun",""
"CopperEgg Corporation",""
"CopperGate Communications","$173,000,000.00"
"Coquelux",""
"Coradiant",""
"Cord Blood Registry","$700,000,000.00"
"Cordys","$33,000,000.00"
"Corechange","$3,600,000.00"
"CoreExpress",""
"Coremetrics",""
"CoreObjects Software",""
"CoreOptics","$99,000,000.00"
"Coresonic",""
"CoreTrace",""
"CoreXchange","$17,000,000.00"
"CoreXchange",""
"Corgenix","$16,000,000.00"
"Corimmun",""
"Corona Labs","$2,300,000.00"
"Corona Labs",""
"Corporate Lodging Consultants",""
"Hitch",""
"CorrectNet",""
"Correlix",""
"Corrigo",""
"Corthera","$620,000,000.00"
"Cortina Systems","$131,000,000.00"
"Corventis","$150,000,000.00"
"Corvigo",""
"Cotendo","$268,000,000.00"
"CoTweet",""
"Counterpane Internet Security",""
"CounterStorm",""
"CourtLink",""
"Covagen",""
"Covario",""
"Covario",""
"Covarity",""
"Cover Lockscreen",""
"CoverItLive",""
"CoverItLive",""
"Coverity","$375,000,000.00"
"Covestor",""
"CoWare",""
"Cozi",""
"CPM Braxis","$299,000,000.00"
"CPower","$78,000,000.00"
"Cramer Systems",""
"Cramster",""
"Crashlytics","$100,000,000.00"
"Crashpadder",""
"Creative Market",""
"CREDANT Technologies",""
"CredentialEnvironmental",""
"CreditCards.com","$145,000,000.00"
"CreekPath Systems",""
"Crescendo Bioscience","$270,000,000.00"
"Crescendo Networks",""
"PublicEngines",""
"Critical Therapeutics,Inc.",""
"Crocodoc",""
"Crossbeam Systems",""
"Crossbeam Systems",""
"Crossbow Technologies","$32,000,000.00"
"Crossing Automation",""
"CrossWeave",""
"OurExchange.com",""
"Crowdcast",""
"CrowdCompass","$10,000,000.00"
"Crowd Factory",""
"CrowdSavings.com","$6,400,000.00"
"Crucell","$2,300,000,000.00"
"Crude Area",""
"Crunch-e",""
"Crunchyroll",""
"Crux Biomedical",""
"Cryo-Innovation",""
"CryoCor",""
"Crypteia Networks",""
"CryptoSeal",""
"Cryptzone",""
"CSL DualCom",""
"CSR","$2,500,000,000.00"
"Cube Optics",""
"CubeTree","$50,000,000.00"
"Cucumbertown",""
"Cue","$50,000,000.00"
"Cumulux",""
"Curbed Network","$30,000,000.00"
"CURRENT",""
"Current Communications Group",""
"Curverider",""
"CXR Biosciences",""
"CYA Technologies",""
"CyActive","$60,000,000.00"
"Cyan","$400,000,000.00"
"Cyberport Digital Outfitters",""
"Cybersource","$2,000,000,000.00"
"Cybrant",""
"Cycle Gear",""
"Cymfony",""
"Cymphonix",""
"CyOptics",""
"Cyota","$145,000,000.00"
"CyrusOne","$525,000,000.00"
"CyrusOne",""
"Cytochroma",""
"CytoSolv",""
"CytoSport","$450,000,000.00"
"Cytovance Biologics","$205,680,000.00"
"CyVek","$195,000,000.00"
"Cyvera","$200,000,000.00"
"Dun & Bradstreet Credibility Corporation","$350,000,000.00"
"D2Audio",""
"Dabble DB",""
"Dachis Group",""
"Daegis",""
"DailyBooth",""
"DailyBurn",""
"DailyDeal",""
"Dailymotion",""
"DailyStrength",""
"DailyStrength","$3,125,000.00"
"Daksh eServices",""
"Daksh Infosoft",""
"damntheradio",""
"Dandelion",""
"Danger","$500,000,000.00"
"Dapper","$55,000,000.00"
"Daptiv",""
"DARA BioSciences","$20,000,000.00"
"Darberry",""
"Dash","$8,300,000.00"
"Dashwire","$18,500,000.00"
"Dasient",""
"Data Domain","$2,400,000,000.00"
"Data Impact",""
"Data Marketplace",""
"Data Security Systems Solutions",""
"Data TV Networks",""
"DataCert",""
"Dataflow",""
"DATAllegro",""
"Datalogix","$1,200,000,000.00"
"datango",""
"Datanomic",""
"DataPad",""
"DataPop",""
"DataRank",""
"DataSynapse","$28,000,000.00"
"Datria Systems",""
"Dayforce",""
"Daylife",""
"Dealer.com","$1,000,000,000.00"
"Dealer Tire",""
"Dealertrack","$4,000,000,000.00"
"DealPerk",""
"Local Offer Network",""
"DebtMarket",""
"DebtFolio","$1,200,000.00"
"deCarta",""
"Decide.com",""
"Decipher",""
"Decision Management International",""
"DecisionView",""
"Decru","$272,000,000.00"
"Decuma AB",""
"Deep Forest Media",""
"Deerpath Energy",""
"Defense.Net",""
"Definiens",""
"Definiens","$150,000,000.00"
"delicious",""
"delicious",""
"delicious",""
"Deltek","$1,100,000,000.00"
"Delve Networks",""
"Delver",""
"Demandforce","$423,500,000.00"
"DemandTec","$440,000,000.00"
"Demantra",""
"Demdex",""
"Demibooks",""
"Deploy Solution",""
"Der Grüne Punkt",""
"Derivix",""
"Design Clinicals",""
"Design Within Reach","$154,000,000.00"
"Design2Launch",""
"Design2Launch",""
"DesignArt Networks","$144,000,000.00"
"DesignCrowd",""
"Deskom",""
"Desktone",""
"DestinationRX",""
"Desura",""
"Detectent","$12,000,000.00"
"Develogen AG",""
"DEVICOR MEDICAL PRODUCTS GROUP",""
"DevZuz",""
"Accompany-ME Technology",""
"Dhingana",""
"Diagnostic Hybrids","$130,000,000.00"
"Diagnovus",""
"Dialogic","$35,300,000.00"
"Diatherix Laboratories","$50,000,000.00"
"DiBcom",""
"Dibspace",""
"Digby",""
"Digg","$500,000.00"
"Digiquant",""
"Digistrive",""
"Digital Fuel","$85,000,000.00"
"Digital Media Broadcast",""
"Digital Payment Technologies",""
"Digital Reef",""
"Digital River","$840,000,000.00"
"Digital Sports",""
"Digital Theatre",""
"DigitalPersona",""
"Digitalsmiths","$135,000,000.00"
"DiJiPOP",""
"Diligent Technologies",""
"Dimdim","$31,000,000.00"
"Direct Hit","$500,000,000.00"
"DirectPointe",""
"Directr",""
"DIREVO Industrial Biotechnology","$297,430,000.00"
"Dirig Software",""
"disco volante",""
"Dishcrawl",""
"DiskSites",""
"Dispatch",""
"Dispop",""
"Disruption Corporation",""
"Distech Controls","$252,000,000.00"
"Distil Interactive",""
"Distill",""
"Distill",""
"Distra","$49,000,000.00"
"Ditto",""
"Divergence",""
"Divide","$120,000,000.00"
"Divvyshot",""
"DivX","$323,000,000.00"
"DivX","$62,500,000.00"
"DNA Games",""
"Docebo",""
"Doctor Driven Systems",""
"DoctorBase",""
"docTrackr","$10,000,000.00"
"DocuSphere","$7,000,000.00"
"DocVerse","$25,000,000.00"
"Dogster",""
"DogTime Media",""
"DokDok",""
"Dónde",""
"Doodle",""
"DoodleDeals Inc.",""
"Doostang",""
"dooyoo",""
"Dopplr",""
"Dorn Technology Group",""
"Dorsey Wright and Associates",""
"Dot Hill Systems","$694,000,000.00"
"dotCloud",""
"dotloop","$108,000,000.00"
"dotSyntax",""
"DoublePositive",""
"DoveBid",""
"doxIQ",""
"Doyenz",""
"dPoint Technologies",""
"Draftstreet",""
"Dragonplay","$100,000,000.00"
"DramaFever",""
"Draths Corporation",""
"DRC Computer",""
"Drexel Metals",""
"Drimmi",""
"DriveFactor","$22,000,000.00"
"drop.io",""
"Dropcam","$555,000,000.00"
"Droplet Technology",""
"Drugstore.com","$409,000,000.00"
"DualSpark",""
"Dubizzle",""
"Dubizzle",""
"Duck Creek Technologies",""
"Ducksboard","$2,300,000.00"
"DuneNetworks","$178,000,000.00"
"Durata Therapeutics","$675,000,000.00"
"DVS Sciences","$207,500,000.00"
"Dwellable",""
"DWL",""
"DynamicOps",""
"Dynamics Research","$120,000,000.00"
"easy2comply (Dynasec)",""
"Dynatrace","$256,000,000.00"
